[Service ID]	[WSDL Address]	[Service Provider]	[IP Address]	[Country]	[Continent]	[AS]	[Latitude]	[Longitude]	 [Region]	[City]
10	http://www.librosar.com.ar/portal/servicioonix.asmx?WSDL	librosar.com.ar	null	null	null	null	null	null	null	null
11	http://ba.mobilenik.com.ar/dbbrowser/dbbrowser.asmx?WSDL	mobilenik.com.ar	null	null	null	null	null	null	null	null
12	http://www.mslatam.com/latam/msdn/comunidad/dce/estadistica/webservices/FSD_Statistics_WS.asmx?WSDL	mslatam.com	65.55.39.10	United States	North America	AS8075 Microsoft Corp	47.6742	-122.1206	Washington	Redmond
13	http://www.neodynamic.com/Products/Demos/BCWebSampleWS/BarcodeProfessionalWS.asmx?wsdl	neodynamic.com	190.2.60.187	Argentina	South America	AS16814 S.A.	-34.61	-58.3	Distrito Federal	Buenos Aires
14	http://www.ssat.com.ar/googleearth1.1/service.asmx?wsdl	ssat.com.ar	200.127.117.188	Argentina	South America	AS10481 Prima S.A.	-34.61	-58.3	Distrito Federal	Buenos Aires
15	http://www.transportesjoselito.com/atlas/modal/TiempoService.asmx?WSDL	transportesjoselito.com	200.58.118.130	Argentina	South America	AS27823 Dattatec.com	-32.95	-60.67	Santa Fe	Santa Fe De La Vera Cruz
16	http://wsatebara.com.ar/ServicioWeb.asmx?WSDL	wsatebara.com.ar	190.247.40.16	Argentina	South America	AS10318 S.A.	-34.53	-58.55	Distrito Federal	Buenos Aires
17	http://wsluisbal.com.ar/WebService.asmx?WSDL	wsluisbal.com.ar	190.247.40.16	Argentina	South America	AS10318 S.A.	-34.53	-58.55	Distrito Federal	Buenos Aires
18	http://www.enterpriseconnect.gov.au/_vti_bin/BusinessDataCatalog.asmx?wsdl	enterpriseconnect.gov.au	210.193.179.225	Australia	Oceania	AS17477 Macquarie Telecom	-33.88	151.22	New South Wales	Sydney
19	http://www.enterpriseconnect.gov.au/_vti_bin/People.asmx?wsdl	enterpriseconnect.gov.au	210.193.179.225	Australia	Oceania	AS17477 Macquarie Telecom	-33.88	151.22	New South Wales	Sydney
20	http://www.enterpriseconnect.gov.au/_vti_bin/Authentication.asmx?wsdl	enterpriseconnect.gov.au	210.193.179.225	Australia	Oceania	AS17477 Macquarie Telecom	-33.88	151.22	New South Wales	Sydney
21	http://www.industry.gov.au/_vti_bin/BusinessDataCatalog.asmx?wsdl	industry.gov.au	210.193.176.79	Australia	Oceania	AS17477 Macquarie Telecom	-35.28	149.22	Australian Capital Territory	Canberra
22	http://www.industry.gov.au/_vti_bin/People.asmx?wsdl	industry.gov.au	210.193.176.79	Australia	Oceania	AS17477 Macquarie Telecom	-35.28	149.22	Australian Capital Territory	Canberra
23	http://www.industry.gov.au/_vti_bin/Authentication.asmx?wsdl	industry.gov.au	210.193.176.79	Australia	Oceania	AS17477 Macquarie Telecom	-35.28	149.22	Australian Capital Territory	Canberra
24	http://www.microsoftsharepoint.com/venue/_vti_bin/SharepointEmailWS.asmx?wsdl	microsoftsharepoint.com	203.19.66.79	Australia	Oceania	AS9268 Over The Wire Pty Ltd	-26.588527	139.21875	Queensland	Brisbane
25	http://www.microsoftsharepoint.com/venue/_vti_bin/BusinessDataCatalog.asmx?wsdl	microsoftsharepoint.com	203.19.66.79	Australia	Oceania	AS9268 Over The Wire Pty Ltd	-26.588527	139.21875	Queensland	Brisbane
26	http://www.microsoftsharepoint.com/agenda/_vti_bin/Authentication.asmx?wsdl	microsoftsharepoint.com	203.19.66.79	Australia	Oceania	AS9268 Over The Wire Pty Ltd	-26.588527	139.21875	Queensland	Brisbane
27	http://www.microsoftsharepoint.com/agenda/_vti_bin/People.asmx?wsdl	microsoftsharepoint.com	203.19.66.79	Australia	Oceania	AS9268 Over The Wire Pty Ltd	-26.588527	139.21875	Queensland	Brisbane
28	http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/UserProfileService.asmx?wsdl	tourism.wa.gov.au	203.153.245.135	Australia	Oceania	AS9822 Amnet IT Services Pty Ltd	-31.93	115.83	Western Australia	Perth
29	http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/Authentication.asmx?wsdl	tourism.wa.gov.au	203.153.245.135	Australia	Oceania	AS9822 Amnet IT Services Pty Ltd	-31.93	115.83	Western Australia	Perth
30	http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/People.asmx?wsdl	tourism.wa.gov.au	203.153.245.135	Australia	Oceania	AS9822 Amnet IT Services Pty Ltd	-31.93	115.83	Western Australia	Perth
31	http://www.westernaustralia.com/de/_vti_bin/UserProfileService.asmx?wsdl	westernaustralia.com	203.153.245.134	Australia	Oceania	AS9822 Amnet IT Services Pty Ltd	-31.93	115.83	Western Australia	Perth
32	http://www.westernaustralia.com/de/_vti_bin/Authentication.asmx?wsdl	westernaustralia.com	203.153.245.134	Australia	Oceania	AS9822 Amnet IT Services Pty Ltd	-31.93	115.83	Western Australia	Perth
33	http://www.westernaustralia.com/de/_vti_bin/People.asmx?wsdl	westernaustralia.com	203.153.245.134	Australia	Oceania	AS9822 Amnet IT Services Pty Ltd	-31.93	115.83	Western Australia	Perth
34	http://www.stpatricks.qld.edu.au/_vti_bin/Authentication.asmx?wsdl	stpatricks.qld.edu.au	110.232.140.115	Australia	Oceania	null	-33.88	151.22	New South Wales	Sydney
35	http://www.stpatricks.qld.edu.au/_vti_bin/People.asmx?wsdl	stpatricks.qld.edu.au	110.232.140.115	Australia	Oceania	null	-33.88	151.22	New South Wales	Sydney
36	http://www.iress.com.au/AutoComplete.asmx?WSDL	iress.com.au	203.32.184.246	Australia	Oceania	AS17755 BRIDGEDFS LIMITED	-23.85	151.25	Queensland	Gladstone
37	http://www.shn.org.au/UserAddModify.asmx?wsdl	shn.org.au	203.12.31.159	Australia	Oceania	AS2764 AAPT Limited	-37.82	144.97	Victoria	Melbourne
38	http://services1.pharmx.com.au/order/supplierlist.asmx?WSDL	pharmx.com.au	203.145.49.232	Australia	Oceania	AS17920 Ultra Serve Internet Pty Ltd - Transit AS - Hosting Provider,	-33.88	151.22	New South Wales	Sydney
39	http://www.abn.business.gov.au/abrxmlpubsub/ABRXMLPubSub.asmx?WSDL	business.gov.au	210.193.176.122	Australia	Oceania	AS17477 Macquarie Telecom	-35.28	149.22	Australian Capital Territory	Canberra
40	http://www.crickscore.com/services/Version?wsdl	crickscore.com	208.73.211.152	United States	North America	AS33626 Oversee.net	33.9931	-118.3739	California	Los Angeles
41	http://www.crickscore.com/services/TeamAccess?wsdl	crickscore.com	208.73.211.152	United States	North America	AS33626 Oversee.net	33.9931	-118.3739	California	Los Angeles
42	http://crickscore.com/services/Statistics?wsdl	crickscore.com	208.73.211.152	United States	North America	AS33626 Oversee.net	33.9931	-118.3739	California	Los Angeles
43	http://au.gamecreate.com/admin/ExternalAuthentication.asmx?WSDL	gamecreate.com	144.140.155.10	Australia	Oceania	AS1221 Telstra Pty Ltd	-27	133	Australian Capital Territory	Canberra
44	http://api.godo.com.au/soap/v1_00/productManager.cfc?WSDL	godo.com.au	202.125.108.41	Australia	Oceania	AS55481 Wotif.com Holdings Limited	-35.32	150.43	New South Wales	Milton
45	http://api.godo.com.au/soap/v1_00/product.cfc?WSDL	godo.com.au	202.125.108.41	Australia	Oceania	AS55481 Wotif.com Holdings Limited	-35.32	150.43	New South Wales	Milton
46	http://api.godo.com.au/soap/v1_00/licenceManager.cfc?WSDL	godo.com.au	202.125.108.41	Australia	Oceania	AS55481 Wotif.com Holdings Limited	-35.32	150.43	New South Wales	Milton
47	http://api.godo.com.au/soap/v1_00/order.cfc?WSDL	godo.com.au	202.125.108.41	Australia	Oceania	AS55481 Wotif.com Holdings Limited	-35.32	150.43	New South Wales	Milton
48	http://www.mp3.com.au/WebServices/PlayerService.asmx?WSDL	mp3.com.au	50.23.104.22	United States	North America	null	37.3353	-121.8938	California	San Jose
49	http://www.mp3.com.au/WebServices/GalleryService.asmx?WSDL	mp3.com.au	50.23.104.22	United States	North America	null	37.3353	-121.8938	California	San Jose
50	http://www.mp3.com.au/WebServices/MediaGroupService.asmx?WSDL	mp3.com.au	50.23.104.22	United States	North America	null	37.3353	-121.8938	California	San Jose
51	http://www.mp3.com.au/WebServices/LocationService.asmx?WSDL	mp3.com.au	50.23.104.22	United States	North America	null	37.3353	-121.8938	California	San Jose
52	http://webservices.seek.com.au/FastLanePlus.asmx?wsdl	seek.com.au	202.58.38.95	Australia	Oceania	AS9667 Hostworks Pty Ltd	-34.9	138.53	South Australia	Findon
53	http://webct.swin.edu.au/webct/axis/Version?wsdl	swin.edu.au	136.186.1.12	Australia	Oceania	AS7575 Australian Academic and Reasearch Network (AARNet)	-27	133	Victoria	Melbourne
54	http://soap.bondwireless.com/soap/services/SmsGateway?wsdl	bondwireless.com	203.56.34.99	Australia	Oceania	AS9822 Amnet IT Services Pty Ltd	-34.93	138.6	South Australia	Adelaide
55	http://soap.bondwireless.com/soap/services/Enigma?wsdl	bondwireless.com	203.56.34.99	Australia	Oceania	AS9822 Amnet IT Services Pty Ltd	-34.93	138.6	South Australia	Adelaide
56	http://maps.nsw.gov.au/wsdl/AddressSearch.wsdl	maps.nsw.gov.au	203.57.8.27	Australia	Oceania	AS17668 Soul Pattinson Telecommunications Pty Ltd	-33.42	149.57	New South Wales	Bathurst
57	http://maps.nsw.gov.au/wsdl/AddressImageWS.wsdl	maps.nsw.gov.au	203.57.8.27	Australia	Oceania	AS17668 Soul Pattinson Telecommunications Pty Ltd	-33.42	149.57	New South Wales	Bathurst
58	http://www.myboot.com.au/webservice/shared/galleries/resources.asmx?WSDL	myboot.com.au	5.9.147.18	Germany	Europe	null	49.1	10.75	Bayern	Gunzenhausen
59	http://www.myboot.com.au/webservice/myboot/suburb/picker.asmx?WSDL	myboot.com.au	5.9.147.18	Germany	Europe	null	49.1	10.75	Bayern	Gunzenhausen
60	http://www.originalsfestival.com.au/PublicService.asmx?WSDL	originalsfestival.com.au	null	null	null	null	null	null	null	null
61	http://xml.redcoal.com/soapserver.dll/wsdl/ISoapServer	redcoal.com	59.154.43.98	Australia	Oceania	AS7474 SingTel Optus Pty Ltd	-26.588527	139.21875	New South Wales	Sydney
62	http://www.stratapay.com.au/ecommservices.asmx?WSDL	stratapay.com.au	61.29.75.116	Australia	Oceania	AS2764 AAPT Limited	-33.88	151.22	New South Wales	Sydney
63	http://sti.subaru.com.au/templates/global/cfc/banner_home.cfc?wsdl	subaru.com.au	50.56.52.236	United States	North America	null	29.5172	-98.362	Texas	San Antonio
64	http://sti.subaru.com.au/templates/global/cfc/banner_showrm.cfc?wsdl	subaru.com.au	50.56.52.236	United States	North America	null	29.5172	-98.362	Texas	San Antonio
65	http://direct.tab.com.au/LiveOdds/Services/Racing/Racing.wsdl	tab.com.au	72.13.32.43	United States	North America	AS26134 VeriSign Infrastructure & Operations	38.9627	-77.3373	Virginia	Reston
66	http://direct.tab.com.au/liveodds/services/login/login.wsdl	tab.com.au	72.13.32.43	United States	North America	AS26134 VeriSign Infrastructure & Operations	38.9627	-77.3373	Virginia	Reston
67	http://www.taet.com.au/Web+Service+Agent.nsf/RandomDirectoryWSDL	taet.com.au	null	null	null	null	null	null	null	null
68	http://www.taet.com.au/Web+Service+Agent.nsf/DirectoryWSDL	taet.com.au	null	null	null	null	null	null	null	null
69	http://staff.it.uts.edu.au/~chw/hellorpc.php?wsdl	uts.edu.au	54.251.117.70	United States	North America	null	40.5539	-74.2861	New Jersey	Woodbridge
70	http://blackboxlbs.com/BlackBoxWebservice/BlackBoxMiddleTier.asmx?WSDL	blackboxlbs.com	null	null	null	null	null	null	null	null
71	http://www.connectingcare.com/webservice/ccereferral.asmx?wsdl	connectingcare.com	203.94.158.108	Australia	Oceania	AS10223 Uecomm Ltd	-33.88	151.1	New South Wales	Burwood
72	http://webapp.genexis.com.au/twitterearth/Service.asmx?WSDL	genexis.com.au	203.98.80.147	Australia	Oceania	AS45152 ASN Zone Networks	-26.588527	139.21875	New South Wales	Surry Hills
73	http://www.golfintelligence.com.au/course.asmx?WSDL	golfintelligence.com.au	103.4.213.31	Australia	Oceania	null	-28.1	153.45	Queensland	Burleigh
74	http://engine.grunt.tv/2_1Discover/Discover.asmx?WSDL	grunt.tv	203.14.199.246	Australia	Oceania	AS45427 Webzone Internet, Internet Service Provider,	-33.88	151.1	New South Wales	Burwood
75	http://hookmeup.com.au/Services/Service.asmx?WSDL	hookmeup.com.au	111.67.13.116	Australia	Oceania	AS45454 Web24 Virtual & Dedicated hosting service provider, Melb, Australia	-37.92	145.2	Victoria	Mulgrave
76	http://sp-s3g.iclp.com.au/ws/egapi/v1-0/egapi.cfc?wsdl	iclp.com.au	null	null	null	null	null	null	null	null
77	http://www.interpro.com.au/JobsliveWS/RandomJobPicker.asmx?WSDL	interpro.com.au	203.34.3.7	Australia	Oceania	AS17477 Macquarie Telecom	-33.88	151.22	New South Wales	Sydney
78	http://www.messagenet.com.au/dotnet/Lodge.asmx?wsdl	messagenet.com.au	202.168.6.30	Australia	Oceania	AS9942 SOUL Converged Communications Australia	-37.7	145.1	Victoria	Ormond
79	http://motormouth.net.au/Services/FuelPricingServices.asmx?wsdl	motormouth.net.au	203.39.223.150	Australia	Oceania	AS1221 Telstra Pty Ltd	-27.5	153.02	Queensland	Brisbane
80	http://www.rugbyleaguelive.com/ContentService.asmx?wsdl	rugbyleaguelive.com	50.16.232.234	United States	North America	AS14618 Amazon.com, Inc.	39.0436	-77.4878	Virginia	Ashburn
81	http://www.secureparking.com.au/CarsService.asmx?WSDL	secureparking.com.au	27.121.104.110	Australia	Oceania	AS23992 Offis Pty Ltd	-33.87	151.19	New South Wales	Pyrmont
82	http://www.smsglobal.com.au/mobileworks/soapserver.php?wsdl	smsglobal.com.au	203.89.199.52	Australia	Oceania	AS9328 Datacom Victoria	-37.82	144.97	Victoria	Melbourne
83	http://www.travelsim.net.au/phpincs/test/travelsim.wsdl	travelsim.net.au	113.192.42.148	Australia	Oceania	null	-33.88	151.22	New South Wales	Sydney
84	http://webnet.usq.edu.au/USQProgramSearch/AutoCompleteSearch.asmx?WSDL	usq.edu.au	139.86.7.80	Australia	Oceania	AS7575 Australian Academic and Reasearch Network (AARNet)	-27	133	Queensland	Toowoomba
85	http://shop.virginvieathome.com/AddToBasketService.asmx?WSDL	virginvieathome.com	194.176.199.129	United Kingdom	Europe	AS49572 Fujitsu Services Ltd.	51.58	0.2	England	Romford
86	http://forums.genom-e.com/_vti_bin/BusinessDataCatalog.asmx?wsdl	genom-e.com	null	null	null	null	null	null	null	null
87	http://forums.genom-e.com/_vti_bin/SharepointEmailWS.asmx?wsdl	genom-e.com	null	null	null	null	null	null	null	null
88	http://forums.genom-e.com/_vti_bin/People.asmx?wsdl	genom-e.com	null	null	null	null	null	null	null	null
89	http://forums.genom-e.com/_vti_bin/Authentication.asmx?wsdl	genom-e.com	null	null	null	null	null	null	null	null
90	http://almighty.pri.univie.ac.at/~mangler/helloService.wsdl	univie.ac.at	131.130.70.17	Austria	Europe	AS760 University of Vienna, Austria	48.2	16.37	Bundesland Wien	Vienna
91	http://almighty.pri.univie.ac.at/~mangler/ORA/ora.wsdl	univie.ac.at	131.130.70.17	Austria	Europe	AS760 University of Vienna, Austria	48.2	16.37	Bundesland Wien	Vienna
92	http://www.pri.univie.ac.at/~mangler/CEWebS/Homework/	univie.ac.at	131.130.70.17	Austria	Europe	AS760 University of Vienna, Austria	48.2	16.37	Bundesland Wien	Vienna
93	http://www.arikan.at/axis/services/urn:xmltoday-delayed-quotes?wsdl	arikan.at	64.15.156.118	Canada	North America	AS32613 iWeb Technologies Inc.	45.5	-73.58	Quebec	Montreal
94	http://www.arikan.at/axis/services/BankService?wsdl	arikan.at	64.15.156.118	Canada	North America	AS32613 iWeb Technologies Inc.	45.5	-73.58	Quebec	Montreal
95	http://www.arikan.at/axis/services/CountryService?wsdl	arikan.at	64.15.156.118	Canada	North America	AS32613 iWeb Technologies Inc.	45.5	-73.58	Quebec	Montreal
96	http://www.arikan.at/axis/services/Version?wsdl	arikan.at	64.15.156.118	Canada	North America	AS32613 iWeb Technologies Inc.	45.5	-73.58	Quebec	Montreal
97	http://www.arikan.at/axis/services/DistrictService?wsdl	arikan.at	64.15.156.118	Canada	North America	AS32613 iWeb Technologies Inc.	45.5	-73.58	Quebec	Montreal
98	http://www.arikan.at/axis/services/InsuranceService?wsdl	arikan.at	64.15.156.118	Canada	North America	AS32613 iWeb Technologies Inc.	45.5	-73.58	Quebec	Montreal
99	http://www.arikan.at/axis/services/urn:cominfo?wsdl	arikan.at	64.15.156.118	Canada	North America	AS32613 iWeb Technologies Inc.	45.5	-73.58	Quebec	Montreal
100	http://www.arikan.at/axis/services/SOAPMonitorService?wsdl	arikan.at	64.15.156.118	Canada	North America	AS32613 iWeb Technologies Inc.	45.5	-73.58	Quebec	Montreal
101	http://office.faircheck.at/paraTesting/WebService/SVSR_Termin.asmx?WSDL	faircheck.at	91.227.204.35	Austria	Europe	null	47.07	15.45	Bundesland Steiermark	Graz
102	http://office.faircheck.at/paraTesting/WebService/SVSR_Akt_Lookup.asmx?WSDL	faircheck.at	91.227.204.35	Austria	Europe	null	47.07	15.45	Bundesland Steiermark	Graz
103	http://olymp.ifs.tuwien.ac.at:8088/SOMTrainer?wsdl	tuwien.ac.at	128.130.35.76	Austria	Europe	AS679 Vienna University of Technology	48.2	16.37	Bundesland Wien	Vienna
104	http://olymp.ifs.tuwien.ac.at:8088/AudioFeatureExtractor?wsdl	tuwien.ac.at	128.130.35.76	Austria	Europe	AS679 Vienna University of Technology	48.2	16.37	Bundesland Wien	Vienna
105	http://madrid.vitalab.tuwien.ac.at:8152/axis2/services/SkypeWebService?wsdl	tuwien.ac.at	128.130.35.76	Austria	Europe	AS679 Vienna University of Technology	48.2	16.37	Bundesland Wien	Vienna
106	http://dconx.biz/messagestest.asmx?WSDL	dconx.biz	193.56.137.12	France	Europe	AS15846 Autonomous System	48.87	2.33	Ile-de-france	Puteaux
107	http://dconx.biz/messages.asmx?WSDL	dconx.biz	193.56.137.12	France	Europe	AS15846 Autonomous System	48.87	2.33	Ile-de-france	Puteaux
108	http://dotnet.jku.at/csbook/solutions/19/BookStoreService.asmx?WSDL	jku.at	140.78.3.160	Austria	Europe	AS1205 Johannes Kepler University	48.3	14.3	Bundesland Oberosterreich	Linz
109	http://dotnet.jku.at/buch/samples/7/simple/TimeService1.asmx?WSDL	jku.at	140.78.3.160	Austria	Europe	AS1205 Johannes Kepler University	48.3	14.3	Bundesland Oberosterreich	Linz
110	http://dotnet.jku.at/book/samples/7/encoding/PersonService.asmx?WSDL	jku.at	140.78.3.160	Austria	Europe	AS1205 Johannes Kepler University	48.3	14.3	Bundesland Oberosterreich	Linz
111	http://dotnet.jku.at/book/samples/7/lifecycle/StateDemo.asmx?WSDL	jku.at	140.78.3.160	Austria	Europe	AS1205 Johannes Kepler University	48.3	14.3	Bundesland Oberosterreich	Linz
112	http://www.elba.at/SOAP/SOAPServer.php?wsdl	elba.at	null	null	null	null	null	null	null	null
113	http://travel.jet.at/JtrWebService/JtrWebService.asmx?WSDL	jet.at	94.247.144.176	Austria	Europe	AS42572 abaton EDV - Dienstleistungs GmbH	47.07	15.45	Bundesland Steiermark	Graz
114	http://www.allesheute.at/kinoimport/import.asmx?WSDL	allesheute.at	212.72.171.211	Germany	Europe	AS8893 Artfiles New Media GmbH	53.55	10	Hamburg	Hamburg
115	http://www.noe.bauakademie.at/importexport/export.asmx?WSDL	bauakademie.at	null	null	null	null	null	null	null	null
116	http://limitz.jugendsport.at/wsdl.php?wsdl	jugendsport.at	null	null	null	null	null	null	null	null
117	http://jukebox.ch/Interpretenliste.asmx?WSDL	jukebox.ch	193.33.216.10	Austria	Europe	AS42871 Michael Gamsjaeger	47.13	16.27	Bundesland Burgenland	Michael
118	http://www.nanonull.com/TimeService/TimeService.asmx?wsdl	nanonull.com	62.218.28.242	Austria	Europe	AS8437 UTA.AT Backbone	48.2	16.37	Bundesland Wien	Wien
119	http://wartung.priso.net/Service1.asmx?WSDL	priso.net	null	null	null	null	null	null	null	null
120	http://www.calstatela.edu/faculty/jmiller6/cs454-winter2003/notes/sort.wsdl	mywebsite.com	216.250.121.107	United States	North America	AS7296 Alchemy Communications, Inc.	40.0438	-75.3883	Pennsylvania	Wayne
121	http://www.bisc.by/blank/WEB.WebServ.CLS?WSDL=1	bisc.by	212.98.168.182	Belarus	Europe	AS12406 Business network j.v.	53.9	27.57	Minskaya Voblasts'	Minsk
122	http://www.g-o.be/_vti_bin/BusinessDataCatalog.asmx?wsdl	g-o.be	null	null	null	null	null	null	null	null
123	http://www.g-o.be/_vti_bin/People.asmx?wsdl	g-o.be	null	null	null	null	null	null	null	null
124	http://www.g-o.be/_vti_bin/Authentication.asmx?wsdl	g-o.be	null	null	null	null	null	null	null	null
125	http://www.sra.nl/_vti_bin/SharepointEmailWS.asmx?wsdl	sra.nl	213.154.250.200	Netherlands	Europe	AS12859 BIT BV	52.03	5.55	Gelderland	Ede
126	http://www.sra.nl/_vti_bin/BusinessDataCatalog.asmx?wsdl	sra.nl	213.154.250.200	Netherlands	Europe	AS12859 BIT BV	52.03	5.55	Gelderland	Ede
127	http://www.sra.nl/_vti_bin/People.asmx?wsdl	sra.nl	213.154.250.200	Netherlands	Europe	AS12859 BIT BV	52.03	5.55	Gelderland	Ede
128	http://www.sra.nl/_vti_bin/Authentication.asmx?wsdl	sra.nl	213.154.250.200	Netherlands	Europe	AS12859 BIT BV	52.03	5.55	Gelderland	Ede
129	http://www.u2u.info/_vti_bin/BusinessDataCatalog.asmx?wsdl	u2u.info	null	null	null	null	null	null	null	null
130	http://www.u2u.info/_vti_bin/People.asmx?wsdl	u2u.info	null	null	null	null	null	null	null	null
131	http://www.u2u.info/_vti_bin/Authentication.asmx?wsdl	u2u.info	null	null	null	null	null	null	null	null
132	http://tomcat.esat.kuleuven.be/axis/services/Version?wsdl	kuleuven.be	134.58.64.15	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.88	4.7	Vlaams-brabant	Leuven
133	http://ariadne.cs.kuleuven.be/AWS/services/SessionManagementService?wsdl	kuleuven.be	134.58.64.15	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.88	4.7	Vlaams-brabant	Leuven
134	http://tomcat.esat.kuleuven.be/axis/ToucanSOAPService.jws?wsdl	kuleuven.be	134.58.64.15	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.88	4.7	Vlaams-brabant	Leuven
135	http://ariadne.cs.kuleuven.ac.be/SQI/wsdl/SessionManagement.wsdl	kuleuven.ac.be	134.58.64.15	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.88	4.7	Vlaams-brabant	Leuven
136	http://agiv.be/gis/localService.asmx?WSDL	agiv.be	193.190.76.50	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.83	4.33	Oost-vlaanderen	Gent
137	http://jure.juridat.just.fgov.be/PORTALSEARCH/PortalSearchWSSoapHttpPort?WSDL	fgov.be	193.191.245.4	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.8333	4.3333	Brussels Hoofdstedelijk Gewest	Brussels
138	http://www.idtdna.com/AnalyzerService/AnalyzerService.asmx?WSDL	idtdna.com	67.130.12.43	United States	North America	AS209 Qwest Communications Company, LLC	42.0083	-91.6437	Iowa	Cedar Rapids
139	http://eu.idtdna.com/Ajax/ModService.asmx?wsdl	idtdna.com	67.130.12.43	United States	North America	AS209 Qwest Communications Company, LLC	42.0083	-91.6437	Iowa	Cedar Rapids
140	http://www.vlm.be/_vti_bin/WebPartPages.asmx?wsdl	vlm.be	193.58.158.206	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.8333	4.3333	Oost-vlaanderen	Merelbeke
141	http://www.ebcs.be/iban/IBANBIC.asmx?WSDL	ebcs.be	96.45.82.132	United States	North America	null	38.9627	-77.3373	Virginia	Reston
142	http://www.ebcs.be/iban/Olo.asmx?WSDL	ebcs.be	96.45.82.68	United States	North America	null	38.9627	-77.3373	Virginia	Reston
143	http://www.ebcs.be/iban/Cijfers.asmx?WSDL	ebcs.be	96.45.82.4	United States	North America	null	38.9627	-77.3373	Virginia	Reston
144	http://www.webservices.etnic.be/ws_libelle/convert_libelle.wsdl	etnic.be	193.190.96.74	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.83	4.33	Brussels Hoofdstedelijk Gewest	Brussels
145	http://www.ibanbic.be/Cijfers.asmx?WSDL	ibanbic.be	96.45.82.4	United States	North America	null	38.9627	-77.3373	Virginia	Reston
146	http://www.ibanbic.be/Olo.asmx?WSDL	ibanbic.be	96.45.82.196	United States	North America	null	38.9627	-77.3373	Virginia	Reston
147	http://www.ibanbic.be/IBANBIC.asmx?WSDL	ibanbic.be	96.45.82.132	United States	North America	null	38.9627	-77.3373	Virginia	Reston
148	http://kbcactions.microsite.be/festivals09/service.asmx?WSDL	microsite.be	null	null	null	null	null	null	null	null
149	http://walibi.microsite.be/hero_service/hero_service.asmx?WSDL	microsite.be	null	null	null	null	null	null	null	null
150	http://mercedesdreamfactory.microsite.be/ws/ws.asmx?WSDL	microsite.be	null	null	null	null	null	null	null	null
151	http://kayak.environnement.wallonie.be/services/WSStationsNL?wsdl	wallonie.be	157.164.136.250	Belgium	Europe	AS2611 AS for BELNET, The Belgian National Research and Education Network	50.47	4.87	Namur	Namur
152	http://www.4allsms.com/sendsms.asmx?WSDL	4allsms.com	31.24.112.60	Belgium	Europe	null	50.9167	3.3333	West-vlaanderen	Oostrozebeke
